Season,Messi,Ronaldo,Bale,Neymar,Total
2002-03,0,5,0,0,5
2003-04,0,6,0,0,6
2004-05,1,9,0,0,10
2005-06,8,12,0,0,20
2006-07,17,23,5,0,45
2007-08,16,42,12,1,71
2008-09,38,26,17,15,96
2009-10,47,33,14,14,108
2010-11,53,53,11,19,136
2011-12,73,60,12,24,169
2012-13,60,55,26,43,184
2013-14,41,51,22,39,153
2014-15,58,61,17,39,175
2015-16,41,51,19,31,142
2016-17,54,42,9,20,125
2017-18,45,44,21,28,138
2018-19,51,28,14,23,116
2019-20,31,37,3,19,90
2020-21,38,36,16,17,107
2021-22,11,24,6,13,54
2022-23,21,14,0,13,48
